Timestamp,Bytes Sent,Bytes Received
2026-08-26 11:52:04,74203507,740802639
2026-08-26 11:52:14,74227546,740821114
2026-08-26 11:52:25,74305087,740884007
2026-08-26 11:52:35,74491574,740948923
2026-08-26 11:52:45,74640344,741074827
2026-08-26 11:52:55,74866646,741132015
2026-08-26 11:53:05,74885095,741138839
2026-08-26 11:53:15,74923914,741152224
2026-08-26 11:53:45,75027076,741192807
2026-08-26 11:54:45,75392887,741400714
2026-08-26 11:55:33,75659620,741557208
2026-08-26 11:55:43,75668048,741563948
2026-08-26 11:55:45,75668590,741564266
